City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atafu village,-8.5421,-172.5159,28.03,72,100,8.41,TK,1736389846
1,blackmans bay,-43.0167,147.3167,23.62,48,100,4.37,AU,1736389847
2,port-aux-francais,-49.35,70.2167,6.64,98,100,11.81,TF,1736389849
3,punta arenas,-53.15,-70.9167,8.06,66,20,10.29,CL,1736389702
4,bethel,41.3712,-73.414,-5.95,59,0,4.63,US,1736389851
5,hawaiian paradise park,19.5933,-154.9731,25.73,82,100,3.09,US,1736389852
6,tura,25.5198,90.2201,17.57,52,0,0.89,IN,1736389853
7,prainha,-1.8,-53.48,23.41,96,100,1.72,BR,1736389854
8,ta`u,-14.2336,-169.5144,27.27,79,100,9.8,AS,1736389855
9,uliastay,47.7417,96.8444,-17.81,82,100,0.9,MN,1736389856
10,uturoa,-16.7333,-151.4333,27.95,71,76,3.44,PF,1736389857
11,isafjordur,66.0755,-23.124,-8.54,76,0,4.18,IS,1736389858
12,chonchi,-42.6128,-73.8092,11.73,89,60,1.58,CL,1736389859
13,vorgashor,67.5833,63.95,-24.5,96,39,3.42,RU,1736389860
14,al mijlad,11.0333,27.7333,17.66,21,4,4.73,SD,1736389861
15,bayevo,53.2833,80.7667,-15.25,85,100,5.18,RU,1736389862
16,hermanus,-34.4187,19.2345,17.67,85,1,3.06,ZA,1736389863
17,mariehamn,60.0973,19.9348,-0.08,93,75,2.06,AX,1736389865
18,edinburgh of the seven seas,-37.0676,-12.3116,17.47,99,95,4.94,SH,1736389866
19,whangarei,-35.7317,174.3239,23.52,54,10,3.65,NZ,1736389867
20,jamestown,42.097,-79.2353,-8.32,82,100,5.66,US,1736389840
21,adamstown,-25.066,-130.1015,23.46,84,100,10.31,PN,1736389869
22,waitangi,-43.9535,-176.5597,14.34,69,34,4.02,NZ,1736389870
23,nagqu,31.5,92.0,-9.44,20,97,1.05,CN,1736389871
24,formosa do rio preto,-11.0483,-45.1931,21.34,99,100,1.21,BR,1736389872
25,bilibino,68.0546,166.4372,-36.68,100,41,0.37,RU,1736389873
26,merizo village,13.2658,144.6691,29.99,84,38,5.42,GU,1736389874
27,anadyr,64.75,177.4833,-29.72,74,20,3.0,RU,1736389875
28,calingasta,-31.3308,-69.4078,22.28,42,80,3.26,AR,1736389876
29,albany,42.6001,-73.9662,-7.42,68,99,2.68,US,1736389842
30,ixtapa,20.7,-105.2,24.01,64,100,1.54,MX,1736389878
31,taksimo,56.3444,114.8794,-24.29,88,17,0.34,RU,1736389879
32,susuman,62.7833,148.1667,-32.44,92,98,0.4,RU,1736389881
33,geraldton,-28.7667,114.6,26.23,44,3,6.17,AU,1736389882
34,bredasdorp,-34.5322,20.0403,15.91,89,0,2.14,ZA,1736389883
35,iskateley,67.6803,53.1512,-12.87,80,100,9.25,RU,1736389885
36,tiksi,71.6872,128.8694,-22.94,93,100,7.47,RU,1736389886
37,weno,7.4515,151.8468,30.97,79,40,4.12,FM,1736389888
38,dhuusamarreeb,5.535,46.3861,19.89,87,42,5.22,SO,1736389889
39,kailua-kona,19.6406,-155.9956,27.98,69,0,3.09,US,1736389890
40,malango,-2.9627,119.9001,26.53,75,100,1.11,ID,1736389891
41,howard springs,-12.497,131.047,31.95,67,98,2.59,AU,1736389892
42,stanley,54.868,-1.6985,-3.99,87,99,3.6,GB,1736389893
43,olonkinbyen,70.9221,-8.7187,-3.61,72,98,8.23,SJ,1736389894
44,sao joao da barra,-21.6403,-41.0511,23.16,94,75,3.86,BR,1736389895
45,kittila,67.6647,24.8936,-16.33,84,75,1.03,FI,1736389781
46,khvalynsk,52.4906,48.1058,1.04,97,100,9.5,RU,1736389897
47,wailua homesteads,22.0669,-159.378,22.44,88,100,4.63,US,1736389898
48,kerikeri,-35.2268,173.9474,21.8,62,9,4.35,NZ,1736389899
49,bela,25.9333,81.9833,11.67,50,1,0.89,IN,1736389900
50,pesqueira,-8.3578,-36.6964,20.08,82,54,3.53,BR,1736389901
51,puerto ayora,-0.7393,-90.3518,24.19,94,100,4.11,EC,1736389874
52,utrik,11.2278,169.8474,26.65,83,16,9.96,MH,1736389904
53,trairi,-3.2778,-39.2689,25.78,85,65,2.98,BR,1736389903
54,west island,-12.1568,96.8225,28.99,74,100,4.12,CC,1736389906
55,crane,31.3974,-102.3501,2.49,29,82,3.55,US,1736389907
56,narre warren north,-37.9833,145.3167,31.0,35,100,2.68,AU,1736389908
57,college,64.8569,-147.8028,-14.39,81,40,0.0,US,1736389909
58,nyrob,60.733,56.7202,-3.28,95,100,5.75,RU,1736389910
59,afaahiti,-17.75,-149.2833,26.81,73,93,4.03,PF,1736389912
60,vylkove,45.4021,29.586,8.41,80,19,2.75,UA,1736389913
61,saudarkrokur,65.7461,-19.6394,-12.68,82,13,6.62,IS,1736389914
62,kapuskasing,49.4169,-82.4331,-24.95,77,0,2.57,CA,1736389915
63,invercargill,-46.4,168.35,16.68,68,76,1.34,NZ,1736389818
64,dudinka,69.4058,86.1778,-31.85,100,90,1.28,RU,1736389917
65,grytviken,-54.2811,-36.5092,6.63,60,44,1.57,GS,1736389918
66,rongelap,11.1635,166.8941,27.35,81,13,9.46,MH,1736389919
67,kodiak,57.79,-152.4072,3.73,100,100,10.29,US,1736389920
68,jumla,29.2747,82.1838,5.57,16,0,0.73,NP,1736389922
69,ushuaia,-54.8,-68.3,6.81,76,75,16.46,AR,1736389923
70,puerto natales,-51.7236,-72.4875,7.21,66,10,6.93,CL,1736389925
71,aasiaat,68.7098,-52.8699,-8.18,84,100,8.5,GL,1736389926
72,remire-montjoly,4.9167,-52.2667,26.02,78,20,2.06,GF,1736389927
73,port alfred,-33.5906,26.891,16.77,95,0,0.61,ZA,1736389928
74,anloga,5.7947,0.8973,26.66,88,43,4.11,GH,1736389929
75,georgetown,5.4112,100.3354,28.96,57,20,3.13,MY,1736389631
76,kill devil hills,36.0307,-75.676,0.55,55,0,5.14,US,1736389931
77,la junta,37.985,-103.5438,-11.84,92,0,4.12,US,1736389932
78,margaret river,-33.95,115.0667,22.91,45,31,4.99,AU,1736389933
79,haiku-pauwela,20.9219,-156.3051,27.01,63,20,6.69,US,1736389934
80,vilyuchinsk,52.9306,158.4028,-2.85,79,51,2.08,RU,1736389935
81,aykhal,66.0,111.5,-14.37,96,100,2.55,RU,1736389936
82,katsuura,35.1333,140.3,10.61,55,1,12.95,JP,1736389937
83,albertina,-22.2008,-46.6158,17.18,91,35,2.32,BR,1736389938
84,gebeit,21.0667,36.3167,12.94,70,100,2.62,SD,1736389939
85,nueva esperanza,15.2667,-87.6,22.26,99,100,0.9,HN,1736389923
86,elliot lake,46.3834,-82.6331,-16.64,61,1,2.55,CA,1736389941
87,ust'-uda,54.1742,103.0304,-20.93,98,88,0.58,RU,1736389942
88,ancud,-41.8697,-73.8203,12.97,79,93,2.94,CL,1736389681
89,ciudad insurgentes,25.2625,-111.7753,14.04,75,1,3.32,MX,1736389944
90,mount gambier,-37.8333,140.7667,25.23,35,100,4.62,AU,1736389945
